Name,Type,Grade,Rating,Location,,,,,,,
Total Sex Package,"Rock, Sport",5.12a,2,west virginia>the new river gorge>new river gorge proper>fern buttress>7) Orchard Wall,,,,,,,
Morning Dew,"Rock, Sport",5.12a,2.5,west virginia>the new river gorge>new river gorge proper>fern buttress>8) Ritz Cracker Area,,,,,,,
Control,"Rock, Sport",5.12a,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Lost Souls,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Carolina Crocker and the Tipple of  Doom,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Fire and Ice Buttress,,,,,,,
S.L.A.P.,"Rock, Sport",5.12a,2,west virginia>the new river gorge>new river gorge proper>kaymoor>Fire and Ice Buttress,,,,,,,
"World's Hardest Five Twelve, The","Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>First Buttress,,,,,,,
Pockets of Resistance,"Rock, Sport",5.12a,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Preparation H,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Mr. Hollywood,"Rock, Sport",5.12a,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
"Sting, The","Rock, Sport",5.12a,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
Dining at the Altar,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>White Wall,,,,,,,
Evil Dick,"Rock, Sport",5.12a,2,west virginia>the new river gorge>new river gorge proper>South Nuttall,,,,,,,
Unbroken Chain,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>new river gorge proper>Sunshine Buttress,,,,,,,
Feast of a Finish,"Rock, Sport",5.12a,1,west virginia>the new river gorge>summersville and gauley river>Carnifex Ferry,,,,,,,
Chopping Bloc,"Rock, Sport",5.12a,4,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Penance,"Rock, Sport",5.12a,3,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
"Contortionist, The","Rock, Sport",5.12a,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
Psycho Babble,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Narcissus,"Rock, Sport",5.12a,3.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Seven Minutes of Heaven,"Rock, Sport",5.12a,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Don Miron,"Rock, Sport",5.12a,2.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Jason and the Arguenots,"Rock, Sport",5.12a,2.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Morse Code,"Rock, Sport",5.12a,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
SIN,"Rock, Sport",5.12a,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Wafer,"Rock, Sport",5.12a,1.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Ron Jeremy,"Rock, Sport",5.12a/b,2,west virginia>smoke hole canyon>Long Branch Wall,,,,,,,
Grey Goose,"Rock, Sport",5.12a/b,3,west virginia>the new river gorge>meadow river gorge>south side crags>The Brilliant Pebble,,,,,,,
Michelin Man Original Finish,"Rock, Sport",5.12a/b,4,west virginia>the new river gorge>new river gorge proper>bubba city>Ames Wall,,,,,,,
Dangerous Liasons,"Rock, Sport",5.12a/b,2,west virginia>the new river gorge>new river gorge proper>endless wall>A) Fern Point,,,,,,,
Bullet the New Sky,"Rock, Sport",5.12a/b,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>J) Snake Buttress,,,,,,,
New World Order,"Rock, Sport",5.12a/b,4,west virginia>the new river gorge>new river gorge proper>endless wall>J) Snake Buttress,,,,,,,
Yowsah,"Rock, Sport",5.12a/b,3,west virginia>the new river gorge>new river gorge proper>kaymoor>The Glory Hole,,,,,,,
Waterfall Route,"Rock, Sport",5.12a/b,2,west virginia>the new river gorge>summersville and gauley river>Gauley Crag,,,,,,,
Vaseline Vision,"Rock, Sport",5.12a/b,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Tobacco Road,"Rock, Sport",5.12a/b,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Coliseum,,,,,,,
Sizzle,"Rock, Sport",5.12b,3,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Brand New Dance,"Rock, Sport",5.12b,3,west virginia>franklin gorge>Riverbend,,,,,,,
"Threat, The","Rock, Sport",5.12b,3.5,west virginia>seneca rocks>The Cave,,,,,,,
Crag Memorial,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Toxic Hueco Area,,,,,,,
Flying Rodent,"Rock, Sport",5.12b,1,west virginia>the new river gorge>meadow river gorge>lower meadow>Toxic Hueco Area,,,,,,,
Go Cat Go!,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>lower meadow>Toxic Hueco Area,,,,,,,
Natural Regression,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
B.A.C.,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
Fifty Year Storm,"Rock, Sport",5.12b,4,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
Speedstar,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
Depth Charge,"Rock, Sport",5.12b,4,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
"Hard, Pipe Hitting Tiggers","Rock, Sport",5.12b,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Macauley's Irish Stout,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Lamda,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Superman,"Rock, Sport",5.12b,1.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Just Shave It,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>2. Shaved Box Canyon,,,,,,,
Little Shavers Club,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>upper meadow>2. Shaved Box Canyon,,,,,,,
Half Mast,"Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
"Prow, The","Rock, Sport",5.12b,3,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Unnamed (Dragon's Tail),"Rock, Sport",5.12b,2,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
SNAFU,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>5. Fourth Buttress,,,,,,,
Elliott,"Rock, Sport",5.12b,4,west virginia>the new river gorge>meadow river gorge>upper meadow>6. Cambodia,,,,,,,
European Vacation,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>1) Super Mario Boulder,,,,,,,
Chunky Monkey,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>beauty mountain>3) The Brain,,,,,,,
Mulatto Serpent,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>beauty mountain>3) The Brain,,,,,,,
Whiny Bugs,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>3) The Brain,,,,,,,
Grace Note,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>beauty mountain>5) Burning Buttress,,,,,,,
Loud Noise,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>7) Thunder Buttress,,,,,,,
Mega Magic,"Rock, Sport",5.12b,1,west virginia>the new river gorge>new river gorge proper>bridge area>Bridge Buttress,,,,,,,
C.M.Q. (Chloe Madelyn Quinn),"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>bridge area>Overlook Buttress,,,,,,,
Mind Shaft,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>bridge area>Promised Area,,,,,,,
Keine Kraft,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>bubba city>Ames Wall,,,,,,,
Bubbacide,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>bubba city>Central Bubba,,,,,,,
"Cutting Edge, The","Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>bubba city>Central Bubba,,,,,,,
L'Amour des Toits,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>bubba city>French Wall,,,,,,,
One Repetition Max,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Final Twilight,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Intergalactic Orcas,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Tamarin,"Rock, Sport",5.12b,1.5,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
De-Funked,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>A) Fern Point,,,,,,,
"Exqueetion, The","Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>A) Fern Point,,,,,,,
Le Futuriste,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>endless wall>A) Fern Point,,,,,,,
Modern Primitive,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
Through the Never,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
A Date with Disappointment,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
"Gift of Grace, The","Rock, Sport",5.12b,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>G) Diamond Point,,,,,,,
Harlequin,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Jesus and Tequila,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Rainy Day Route,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Sacrilege,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Mississippi Burning,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>endless wall>J) Snake Buttress,,,,,,,
Blackhappy,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>endless wall>M) Fantasy Area,,,,,,,
Wad Cutter,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>N) The Undeserved Area,,,,,,,
Bubbas in Arapilies,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>endless wall>O) Kline Wall,,,,,,,
Just Forget It,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>endless wall>P) Jacob's Ladder Area,,,,,,,
Shotgun,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>endless wall>P) Jacob's Ladder Area,,,,,,,
Topiary,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>endless wall>Q) The Mungolian Wall,,,,,,,
Live and Let Live,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Foutre la Doigt,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>fern buttress>5) Wild Seed Area,,,,,,,
Fall Line,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>fern buttress>9a) Fern Creek Falls,,,,,,,
Ministry,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Tarbaby,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>kaymoor>First Buttress,,,,,,,
Coal Miner's Tale,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Uninflatable Ewe,"Rock, Sport",5.12b,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Thunderstruck,"Rock, Sport",5.12b,4,west virginia>the new river gorge>new river gorge proper>kaymoor>White Wall,,,,,,,
Criminal Minds,"Rock, Sport",5.12b,1,west virginia>the new river gorge>new river gorge proper>Sunshine Buttress,,,,,,,
Mango Boingo,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>Sunshine Buttress,,,,,,,
Syndicate Fool,"Rock, Sport",5.12b,2,west virginia>the new river gorge>new river gorge proper>Sunshine Buttress,,,,,,,
Tiger Honey,"Rock, Sport",5.12b,4,west virginia>the new river gorge>summersville and gauley river>Carnifex Ferry,,,,,,,
Gauley Roger,"Rock, Sport",5.12b,4,west virginia>the new river gorge>summersville and gauley river>Gauley Crag,,,,,,,
A Bit Worn Out,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Cousteau's Crux,"Rock, Sport",5.12b,2,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
High Wire Act,"Rock, Sport",5.12b,3.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
Ly'n and Stealin',"Rock, Sport",5.12b,4,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
Trapezius,"Rock, Sport",5.12b,4,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
All the Way Baby,"Rock, Sport",5.12b,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Obitchuary,"Rock, Sport",5.12b,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Coliseum,,,,,,,
Logos,"Rock, Sport",5.12b,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Max Payne,"Rock, Sport",5.12b,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Rehab,"Rock, Sport",5.12b,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Waverly,"Rock, Sport",5.12b,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Skin Job,"Rock, Sport",5.12b/c,3,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Tigger Goes to the Enchanted Forest and Tears a Flapper on Pooh's Asshole,"Rock, Sport",5.12b/c,1,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Southside,"Rock, Sport",5.12c,4,west virginia>franklin gorge>Riverbend,,,,,,,
Then I Fired the Carrot,"Rock, Sport",5.12c,3,west virginia>franklin gorge>Riverbend,,,,,,,
Puppy Chow,"Rock, Sport",5.12c,4,west virginia>the new river gorge>meadow river gorge>lower meadow>Greatest Show Area,,,,,,,
Cage Match,"Rock, Sport",5.12c,4,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Game Theory,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
A.B.V.,"Rock, Sport",5.12c,4,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
Rock Jihad,"Rock, Sport",5.12c,3,west virginia>the new river gorge>meadow river gorge>south side crags>Orange Wall,,,,,,,
Arresting Start to a Noble Finish,"Rock, Sport",5.12c,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Creature,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Bull Schneezal,"Rock, Sport",5.12c,4,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Campbell's Soup,"Rock, Sport",5.12c,2,west virginia>the new river gorge>meadow river gorge>upper meadow>6. Cambodia,,,,,,,
Green Envy,"Rock, Sport",5.12c,4,west virginia>the new river gorge>new river gorge proper>beauty mountain>4) Genocide Cave,,,,,,,
Gun Club,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>7) Thunder Buttress,,,,,,,
"Great White Shark, The","Rock, Sport",5.12c,2,west virginia>the new river gorge>new river gorge proper>bubba city>Head Wall,,,,,,,
Arapiles Please,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>bubba city>Rainbow Ledge Area,,,,,,,
Harbinger Scarab,"Rock, Sport",5.12c,4,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
Mental Wings,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
Techman,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
Maximum Leader,"Rock, Sport",5.12c,4,west virginia>the new river gorge>new river gorge proper>endless wall>H) Hellbound Area,,,,,,,
Martini Face,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>endless wall>K) Scream Seam Area,,,,,,,
Fat Back,"Rock, Sport",5.12c,4,west virginia>the new river gorge>new river gorge proper>endless wall>P) Jacob's Ladder Area,,,,,,,
Finders Keepers,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Hasta La Vista,"Rock, Sport",5.12c,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Mr. McGoo,"Rock, Sport",5.12c,2,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Satanic Traverses,"Rock, Sport",5.12c,2,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Sloth,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Kaos,"Rock, Sport",5.12c,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
"Haulage, The","Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>First Buttress,,,,,,,
Buzz Kill,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
Skull Fuck,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>The Glory Hole,,,,,,,
Pettifogger,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>White Wall,,,,,,,
Shang,"Rock, Sport",5.12c,3,west virginia>the new river gorge>new river gorge proper>kaymoor>White Wall,,,,,,,
Aryan Race,"Rock, Sport",5.12c,4,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Stumbling Dice,"Rock, Sport",5.12c,3,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Tongue Lashing,"Rock, Sport",5.12c,4,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Stealin' a Lion,"Rock, Sport",5.12c,4,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
Angle of Attack,"Rock, Sport",5.12c,3.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Raw Milk,"Rock, Sport",5.12c,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Pure Power,"Rock, Sport",5.12c/d,1.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Black Magic,"Rock, Sport",5.12d,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Fruity Pants (AKA Porter's 12c),"Rock, Sport",5.12d,4,west virginia>the new river gorge>meadow river gorge>lower meadow>Greatest Show Area,,,,,,,
Pretty Faces Call Me Daddy,"Rock, Sport",5.12d,4,west virginia>the new river gorge>meadow river gorge>lower meadow>Greatest Show Area,,,,,,,
Made in The Shade,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Cold Steel,"Rock, Sport",5.12d,3,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
Old Scratch,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Red Bull,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Dragon's Tooth,"Rock, Sport",5.12d,3,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Shake And Not Stir,"Rock, Sport",5.12d,3,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Ich Bin Ein Auslander,"Rock, Sport",5.12d,3,west virginia>the new river gorge>meadow river gorge>upper meadow>5. Fourth Buttress,,,,,,,
Mongoloid,"Rock, Sport",5.12d,2,west virginia>the new river gorge>new river gorge proper>beauty mountain>4) Genocide Cave,,,,,,,
Ad Lib,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>beauty mountain>5) Burning Buttress,,,,,,,
Pirouette,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>bridge area>Bridge Buttress,,,,,,,
Masterpiece Theatre,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>new river gorge proper>bubba city>Head Wall,,,,,,,
Ass Waxer,"Rock, Sport",5.12d,2,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Tainted Love,"Rock, Sport",5.12d,2.5,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Stealth and Magic,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
Pudd's Purty Dress,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
"Weatherman's Thumb, The","Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>endless wall>G) Diamond Point,,,,,,,
Libertine,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Oblivion,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Blacklisted,"Rock, Sport",5.12d,2,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Norse Code,"Rock, Sport",5.12d,2,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Superstition,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>endless wall>R) The Cirque,,,,,,,
Bosnian Vacation,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>fern buttress>3) Workmen's Buttress,,,,,,,
Welcome to Conditioning,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>fern buttress>4) Just Send It Wall,,,,,,,
Use Your Power,"Rock, Sport",5.12d,1,west virginia>the new river gorge>new river gorge proper>fern buttress>6) Thieves Area,,,,,,,
"Land Before Time, The","Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>fern buttress>9a) Fern Creek Falls,,,,,,,
Sanctified,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>kaymoor>First Buttress,,,,,,,
"Tantrum, The","Rock, Sport",5.12d,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>First Buttress,,,,,,,
Slash and Burn,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
Devil Doll,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>kaymoor>The Glory Hole,,,,,,,
Lactic Acid Bath,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>kaymoor>The Glory Hole,,,,,,,
Mojo Hand,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>kaymoor>The Glory Hole,,,,,,,
Judgement Night,"Rock, Sport",5.12d,4,west virginia>the new river gorge>new river gorge proper>South Nuttall,,,,,,,
Mother's Milk,"Rock, Sport",5.12d,3,west virginia>the new river gorge>new river gorge proper>Sunshine Buttress,,,,,,,
Power Outage,"Rock, Sport",5.12d,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Ectomorph Arete,"Rock, Sport",5.12d,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Narcissus Direct,"Rock, Sport",5.12d,3.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Surfer Rosa,"Rock, Sport",5.12d,4,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Coliseum,,,,,,,
Reflections,"Rock, Sport",5.13a,4,west virginia>franklin gorge>Riverbend,,,,,,,
Then I Fired the Gun,"Rock, Sport",5.13a,3,west virginia>franklin gorge>Riverbend,,,,,,,
Nightmare,"Rock, Sport",5.13a,2.5,west virginia>seneca rocks>The Cave,,,,,,,
Gone Sniffin',"Rock, Sport",5.13a,4,west virginia>smoke hole canyon>Long Branch Wall,,,,,,,
Blackened Tan,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>lower meadow>Greatest Show Area,,,,,,,
Mighty Dog (aka Lavender Days),"Rock, Sport",5.13a,4,west virginia>the new river gorge>meadow river gorge>lower meadow>Greatest Show Area,,,,,,,
White Trash,"Rock, Sport",5.13a,4,west virginia>the new river gorge>meadow river gorge>lower meadow>Toxic Hueco Area,,,,,,,
Next Time,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Smack Down,"Rock, Sport",5.13a,4,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Roper's Rebate,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>south side crags>Mud Hueco,,,,,,,
B-52,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Bitch Slap,"Rock, Sport",5.13a,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Boomerang,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Corner Pocket,"Rock, Sport",5.13a,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Eye of Mordor,"Rock, Sport",5.13a,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Toymaker,"Rock, Sport",5.13a,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
West Virginia Two-Step,"Rock, Sport",5.13a,3,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
