Name,Type,Grade,Rating,Location,,,,,,,
A1,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Tall Pine Boulder,,,,,,,
G. Too Tough Mantle,Boulder,V2,1.5,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
K. Pocket Boulder Warm-Up,Boulder,V2,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
l'Ascenseur,Boulder,V2,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
Dugout Sloper Problem,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>main area bouldering>C. The Dugout,,,,,,,
Sloper Roof,Boulder,V2,3,west virginia>bozoo>bozoo bouldering>main area bouldering>C. The Dugout,,,,,,,
Crown Crack,Boulder,V2,1.5,west virginia>bozoo>bozoo bouldering>main area bouldering>D. The Crown,,,,,,,
Flake of Death,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>main area bouldering>G. The Bozoo Roof,,,,,,,
E. Layback Crack,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>main area bouldering>H. EDucator Boulder,,,,,,,
H. Dirt corner,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>main area bouldering>H. EDucator Boulder,,,,,,,
Fontainzoo Escape,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>project area>Alcatraz/Fontainzoo/Mattehorn,,,,,,,
One mover,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>project area>Streamside Boulder I,,,,,,,
Hale Poop,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>stoned hinge>Hale Pop Boulder,,,,,,,
Left Face Climb,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>stoned hinge>Nose Candy Boulder,,,,,,,
Unnamed,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>zion>J: Zion Boulder,,,,,,,
Zion Crack,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>zion>J: Zion Boulder,,,,,,,
Sprocket,Boulder,V2,3,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Zygot,Boulder,V2,3,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Smell the Cleaver,Boulder,V2,1,west virginia>coopers rock state forest>roadside>Mad Butcher Block,,,,,,,
Spike 1.0,Boulder,V2,2,west virginia>coopers rock state forest>roadside>sunset wall area>Big Blocks,,,,,,,
Moonchild,Boulder,V2,3,west virginia>coopers rock state forest>roadside>sunset wall area>Moonchild Boulder,,,,,,,
Tendon Repair Kit,Boulder,V2,3,west virginia>coopers rock state forest>roadside>Tendon Repair Kit Area,,,,,,,
Vitamin P,Boulder,V2,2,west virginia>coopers rock state forest>roadside>Warm-Up Boulders,,,,,,,
Neon Light,Boulder,V2,2,west virginia>coopers rock state forest>tilted tree>Electric Avenue Boulder,,,,,,,
Cyrax,Boulder,V2,2.5,west virginia>coopers rock state forest>tilted tree>Fiddle Area,,,,,,,
Shadow Boxer Slab,Boulder,V2,2,west virginia>coopers rock state forest>tilted tree>Good Block Area,,,,,,,
Clarity,Boulder,V2,3,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
Get Your Shoes Back On,Boulder,V2,3.5,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
Quaid,Boulder,V2,2,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
Always Dry Roof,Boulder,V2,3.5,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Visitation,Boulder,V2,3,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Sucrose,Boulder,V2,2,west virginia>coopers rock state forest>upper rock city>Entrance Boulders,,,,,,,
URST,Boulder,V2,3,west virginia>coopers rock state forest>upper rock city>Entrance Boulders,,,,,,,
A Touch of Tango,Boulder,V2,2.5,west virginia>coopers rock state forest>upper rock city>Tomb Raider Area,,,,,,,
